"","P607 - Nº Trabajadores","P639 - Años Funcionamiento","P640 - Método Contable","P978 - Smartphones","P1010 - Ingresos ($)","P1087 - PC Escritorio","P1088 - PC Portátil","P1559 - Redes Sociales","P2524 - Acceso a Internet","P2529 - Velocidad Internet","P2532 - Página Web","SECTOR - Sector Económico"
"25004",2,"10 años o más","No lleva",0,6e+06,0,0,"No","Sí",NA,"No","Comercio"
"25005",3,"5 a menos de 10 años","Libro de registro diario",0,3e+07,1,0,"No","Sí","4 MB o más","No","Industria"
"25006",1,"5 a menos de 10 años","Otro tipo de cuentas",0,2500000,0,0,"No","No",NA,"No","Comercio"
"25007",2,"10 años o más","Otro tipo de cuentas",0,2e+07,0,0,"No","No",NA,"No","Industria"
"25008",1,"10 años o más","Libro de registro diario",0,1.4e+07,0,0,"No","No",NA,"No","Comercio"
"25009",1,"1 a menos de 3 años","Otro tipo de cuentas",0,8900000,0,0,"No","No",NA,"No","Comercio"
"25010",1,"1 a menos de 3 años","No lleva",0,1500000,0,0,"No","No",NA,"No","Comercio"
"25011",6,"5 a menos de 10 años","P o G o Balance General",1,100957100,0,0,"No","Sí","4 MB o más","No","Comercio"
"25012",1,"5 a menos de 10 años","Libro de registro diario",0,2.1e+07,0,0,"No","Sí","4 MB o más","No","Servicios"
"25013",7,"5 a menos de 10 años","Libro de registro diario",0,8.4e+07,0,1,"No","Sí","Entre 2 y menos de 4 MB","No","Servicios"
"25014",2,"5 a menos de 10 años","Libro de registro diario",1,34709000,1,0,"No","Sí","Entre 2 y menos de 4 MB","No","Servicios"
"25015",1,"5 a menos de 10 años","Libro de registro diario",0,3e+07,0,0,"No","No",NA,"No","Comercio"
"25016",6,"5 a menos de 10 años","Libro de registro diario",0,7.5e+08,0,0,"No","Sí","Entre 2 y menos de 4 MB","No","Comercio"
"25017",3,"5 a menos de 10 años","No lleva",0,3.6e+07,0,0,"No","No",NA,"No","Servicios"
"25018",2,"5 a menos de 10 años","P o G o Balance General",0,21600000,0,0,"No","No",NA,"No","Servicios"
"25019",1,"1 a menos de 3 años","Otro tipo de cuentas",0,1e+07,0,0,"No","No",NA,"No","Comercio"
"25020",7,"5 a menos de 10 años","Libro de registro diario",0,2.5e+08,1,0,"No","Sí","Entre 2 y menos de 4 MB","No","Servicios"
